subject,non_jac_frac,SDlogJ,J_min,J_p01,J_p05,J_p50,J_p95,J_p99,J_max,bending_energy,mean_abs_div
p_0,0.00003095,0.31966440,-0.50300282,0.28293137,0.50232975,0.97840086,1.38874602,2.09768478,19.33766727,0.00310916,0.16977017
p_1,0.00001090,0.36510635,-0.19635677,0.22864239,0.43036107,0.99769701,1.34780166,1.98265641,21.37544539,0.00320345,0.19092360
p_2,0.00001831,0.31297544,-0.31360770,0.28856133,0.50963202,0.97527621,1.38471671,2.07045312,19.72703211,0.00320956,0.16766229
p_3,0.00000857,0.31186757,-0.36855146,0.29771489,0.52587423,0.97241497,1.40993670,2.16808651,23.64276774,0.00307165,0.17233203
p_4,0.00000639,0.30719254,-0.19652419,0.30047325,0.52561696,0.97244541,1.39128530,2.13305451,23.67767485,0.00311068,0.16968182
p_5,0.00002122,0.36893115,-0.41343959,0.22668410,0.42001779,0.99418436,1.35872765,2.06185947,17.31642453,0.00334618,0.19146569
p_6,0.00001482,0.36351965,-0.32589082,0.23315736,0.42544785,0.99881624,1.34681687,1.95256399,16.73921018,0.00308614,0.19354220
p_7,0.00000959,0.34951272,-0.13715855,0.24567215,0.44800498,0.99351520,1.36270027,2.02239050,21.89931720,0.00340277,0.18329349
p_8,0.00001075,0.28943049,-0.19399596,0.33643911,0.56312384,0.97141507,1.40592694,2.14733101,19.73530495,0.00320715,0.16176370
p_9,0.00000683,0.30611244,-0.15931858,0.30202703,0.53303942,0.97323305,1.38713818,2.17718892,19.84985310,0.00294119,0.16805048
p_10,0.00000945,0.30695631,-0.11635043,0.29484288,0.53344761,0.97162993,1.40451810,2.13129870,14.08849568,0.00288522,0.16726094
p_11,0.00000857,0.32601176,-0.16444828,0.26926523,0.49220521,0.97500751,1.38283045,2.11517416,16.59544281,0.00310031,0.17347804
p_12,0.00002151,0.32208152,-0.31793247,0.27723983,0.49751361,0.97875000,1.38105287,2.09756931,15.55731409,0.00320190,0.17178358
p_13,0.00000916,0.29949508,-0.21697070,0.31052608,0.54210449,0.97089383,1.40718335,2.11554265,18.74620001,0.00302986,0.16601256
p_14,0.00002456,0.32905387,-0.39708708,0.27058844,0.49275349,0.97324659,1.40089371,2.18340630,15.01442629,0.00330205,0.17676027
p_15,0.00001628,0.28826583,-0.41141221,0.32656938,0.55952597,0.97259265,1.36855338,2.08956449,16.50120567,0.00304289,0.15846130
p_16,0.00001308,0.31737252,-0.31324980,0.28010508,0.49576243,0.98146086,1.35971367,2.05385313,15.39766321,0.00316432,0.16643316
p_17,0.00000785,0.29913709,-0.20855832,0.31451945,0.53932474,0.97180378,1.37223650,2.13061405,17.55162689,0.00300767,0.16575567
p_18,0.00000916,0.32392730,-0.27743846,0.27926501,0.49120338,0.97981798,1.35737812,2.06477350,20.11567040,0.00310311,0.17664358
p_19,0.00001134,0.30108030,-0.19907441,0.30585547,0.53283731,0.97175119,1.39438666,2.09773599,17.93100340,0.00316397,0.16602539
p_20,0.00001119,0.32631905,-0.12147369,0.27583282,0.49252502,0.97698215,1.39305550,2.12670854,18.23278196,0.00308933,0.17671826
p_21,0.00002252,0.31210820,-0.50161502,0.29440427,0.51361763,0.97861589,1.37116935,2.11078194,15.23183517,0.00311431,0.16820575
p_22,0.00000668,0.33784534,-0.29490689,0.25546082,0.48259553,0.97649776,1.40147710,2.18392095,16.89123609,0.00314923,0.17852199
p_23,0.00000770,0.30093973,-0.43666310,0.31189686,0.54230175,0.97167740,1.39962116,2.13992038,19.39151074,0.00301337,0.16783361
p_24,0.00001337,0.30076851,-0.20334222,0.30466459,0.53524568,0.97655615,1.37679568,2.09382655,14.28292954,0.00318203,0.16105443
p_25,0.00001453,0.30959177,-0.35021299,0.29889359,0.50668623,0.98232032,1.36410469,2.07271234,15.34645129,0.00317498,0.16634695
p_26,0.00001104,0.33535130,-0.15638496,0.25475113,0.47773508,0.98648980,1.37036527,2.08919025,24.90347417,0.00316714,0.17363811
p_27,0.00000596,0.32512239,-0.11722571,0.27362768,0.48319753,0.98393280,1.36765820,2.05478406,17.62392516,0.00316846,0.17411403
p_28,0.00001017,0.32815433,-0.38652290,0.26070047,0.50035742,0.97379904,1.39638862,2.17762079,17.23490435,0.00307253,0.17313467
p_29,0.00001424,0.29253944,-0.31210618,0.33216876,0.56904797,0.96561350,1.40852073,2.21713757,16.62228147,0.00290299,0.16518678
p_30,0.00001322,0.30365351,-0.22861214,0.31370303,0.54258048,0.96850366,1.41169312,2.19599461,20.99512129,0.00309938,0.17078660
p_31,0.00000509,0.32602123,-0.12500543,0.27694263,0.48671662,0.97870172,1.39146443,2.09282426,19.29613375,0.00332546,0.17571132
p_32,0.00000959,0.31092907,-0.16161860,0.30220719,0.51934889,0.97237965,1.40606991,2.13690345,17.52429299,0.00317603,0.17185296
p_33,0.00000654,0.31530173,-0.31882976,0.29423186,0.50735022,0.98133071,1.38010246,2.09355761,15.67402602,0.00303035,0.17230876
p_34,0.00000930,0.33888215,-0.34591275,0.26067127,0.48024294,0.97375197,1.42078607,2.17594231,15.55294498,0.00306502,0.18019009
p_35,0.00001337,0.33457209,-0.15500386,0.25858036,0.47582473,0.98103760,1.37762251,2.12415760,18.62693781,0.00310957,0.17240320
p_36,0.00000581,0.28734587,-0.49549192,0.33301847,0.57416444,0.96714669,1.39173989,2.14585540,18.07322406,0.00285401,0.16142309
p_37,0.00001032,0.35210158,-0.24749415,0.25760103,0.45303496,0.97660077,1.42212353,2.17516111,15.75664639,0.00312574,0.19819738
p_38,0.00001787,0.31659473,-0.56298942,0.28670377,0.51741338,0.97419320,1.40445988,2.17981437,19.88480198,0.00315237,0.17106657
p_39,0.00001453,0.32846764,-0.18072845,0.27199436,0.48957819,0.97683686,1.38763629,2.11942880,15.13624846,0.00319625,0.17731166
p_40,0.00000799,0.32593492,-0.10484918,0.27756989,0.49536520,0.97385028,1.40019633,2.18903482,17.22847971,0.00301451,0.17556375
p_41,0.00000901,0.33079738,-0.12476275,0.27485429,0.48902278,0.97507006,1.42363287,2.21576354,20.88517839,0.00310411,0.17924260
p_42,0.00003023,0.37251746,-0.39394923,0.23260243,0.43725157,0.97241685,1.46024493,2.23764834,20.12420088,0.00328033,0.20844276
p_43,0.00002136,0.31378694,-0.26964554,0.29768748,0.52501442,0.96718154,1.42451715,2.22716840,16.52031847,0.00290359,0.17493214
p_44,0.00000843,0.33262968,-0.20299962,0.27006557,0.47525073,0.97589749,1.38414212,2.13508722,18.68266545,0.00313910,0.17606805
p_45,0.00001264,0.32392556,-0.22970194,0.28001571,0.49848743,0.97565092,1.40664696,2.15221775,21.57830447,0.00309400,0.17624216
p_46,0.00001264,0.30066039,-0.30107588,0.31681459,0.55828078,0.96404333,1.40566596,2.23683687,17.98639299,0.00303533,0.17035602
p_47,0.00000828,0.31347608,-0.16439148,0.29920612,0.52217566,0.96736397,1.41116969,2.21689117,16.40310280,0.00302620,0.17469108
p_48,0.00001090,0.29724424,-0.13649854,0.31760110,0.54987136,0.96877620,1.39539628,2.14784698,18.60288124,0.00305523,0.16418277
p_49,0.00001104,0.33670141,-0.37128197,0.24844620,0.46667734,0.98681507,1.33594302,1.98935048,15.35439193,0.00319133,0.17346467
p_50,0.00001090,0.34381221,-0.33296868,0.25222833,0.45650203,0.98175409,1.37952596,2.11775743,21.64754845,0.00325495,0.17845269
p_51,0.00001569,0.32447582,-0.38686474,0.27950894,0.49561626,0.97668661,1.40301086,2.14494277,19.51298397,0.00326286,0.17360729
